title,img_src,link,author,publisher,price
얼굴이 사라진 밤,https://bookthumb-phinf.pstatic.net/cover/163/395/16339540.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339540, 루이즈 젠슨,교보문고,"13,320원(-10%)"
왕은 돈이 고프다. 4,https://bookthumb-phinf.pstatic.net/cover/163/412/16341296.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341296, 철판코기,어울림,"7,200원(-10%)"
마졸 빙의빨로 천마지존. 3,https://bookthumb-phinf.pstatic.net/cover/163/412/16341298.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341298, 문지기,어울림,"7,200원(-10%)"
바다로 향하는 물고기들,https://bookthumb-phinf.pstatic.net/cover/163/315/16331531.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16331531, 시마모토 리오,해냄출판사,"13,500원(-10%)"
심야 비서 2/완결,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330343, 미몽,마야마루출판사,"8,100원(-10%)"
"신창, 망국의 귀족이 되다. 2",https://bookthumb-phinf.pstatic.net/cover/163/412/16341236.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341236, 비도,로크미디어,"7,200원(-10%)"
에냐도르의 전설,https://bookthumb-phinf.pstatic.net/cover/163/001/16300101.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16300101, 미라 발렌틴,사일런스북,"13,320원(-10%)"
소설 예수 1,https://bookthumb-phinf.pstatic.net/cover/163/209/16320976.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16320976, 윤석철,나남,"13,320원(-10%)"
뮬란 새로운 여정(디즈니 오리지널 노블),https://bookthumb-phinf.pstatic.net/cover/163/306/16330654.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330654, 엘리자베스 림,라곰,"14,220원(-10%)"
천하제일 대사형 14,https://bookthumb-phinf.pstatic.net/cover/163/408/16340894.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340894, 북미혼,파피루스(디앤씨미디어),"7,200원(-10%)"
이름 없는 고양이(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/399/16339986.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339986, 다케시타 후미코,살림,"10,800원(-10%)"
천마를 삼켰다 10,https://bookthumb-phinf.pstatic.net/cover/163/408/16340889.jpg?type=m1&udate=Sun Apr 26 09:25:46 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340889, Stag,파피루스(디앤씨미디어),"7,200원(-10%)"
